Time, Value
9.544103001907349,1
15.194397908447266,3
18.776691914169312,5
23.770536963760375,6
33.102874990463256,7
42.98715492752075,5
45.26267788746643,6
51.03005095422363,7
56.29445796376038,6
59.92984392179871,7
64.7705399332428,4
67.44274201907349,6
73.15023798283386,7
78.83471097520447,5
82.95081112016297,4
88.74323195422363,6
90.13805483978271,7
95.70502191226197,7
102.98267295231628,6
104.26575823460388,7
111.98324099046326,6
118.64434887602233,7
124.63037205722046,5
127.02616488174438,3
132.3274550705719,4
134.71934501907347,5
143.44381309536743,6
146.31005001716613,7
156.0890128664856,6
162.78426902479552,5
169.7585209637604,6
178.53896403433228,6
180.1025230076294,5
183.82753398283387,7
189.03709899809266,7
196.72145007247926,6
204.67494799046327,7
