Time, Value
0.03900005340576172,1
18.985697910354613,3
29.63119096948242,4
39.04591305149841,5
47.06497199809265,6
55.94324008392334,7
59.998358003814694,5
62.81584712207031,6
71.2045980152588,7
77.82044887602234,6
82.57495017547608,7
93.64714412397767,7
95.88047805912781,6
102.43807604005433,7
109.32081795422363,4
114.4827520591278,7
120.48920187030029,6
128.19502488365174,5
131.07581889318848,7
138.65344788555907,5
142.65889099809266,4
147.49117283596803,7
156.64033915449525,7
162.04309492561342,6
165.740044043869,4
174.70602814686583,6
179.62291086839295,7
185.591887956131,5
187.83843308964538,7
198.0126950476837,6
205.87543087220763,7
